,com_arch,n_comp,num_heads,ecg_app,aug_p,n_inc,n_comp_ecg,n_comp_ehr,initial_learning_rate
0,1.0,8.0,4.0,0.0,0.5,5.0,32.0,16.0,0.0001
1,1.0,32.0,4.0,0.0,0.5,5.0,16.0,32.0,0.0001
2,5.0,16.0,8.0,0.0,0.1,5.0,8.0,32.0,0.001
3,1.0,16.0,2.0,0.0,0.5,5.0,16.0,32.0,0.0001
4,6.0,16.0,8.0,1.0,0.1,5.0,32.0,32.0,0.001
5,2.0,32.0,4.0,0.0,0.5,5.0,64.0,8.0,0.0001
6,6.0,16.0,8.0,1.0,0.1,5.0,32.0,32.0,0.0001
7,3.0,16.0,8.0,2.0,0.1,10.0,16.0,16.0,1e-05
8,2.0,8.0,4.0,0.0,0.5,5.0,16.0,0.0,0.0001
9,5.0,8.0,4.0,0.0,0.5,5.0,16.0,0.0,0.0001
10,3.0,8.0,4.0,0.0,0.5,5.0,16.0,0.0,0.0001
11,1.0,8.0,4.0,0.0,0.5,5.0,16.0,0.0,0.0001
12,4.0,8.0,4.0,0.0,0.5,5.0,16.0,0.0,0.0001
13,0.0,16.0,4.0,0.0,0.5,5.0,16.0,8.0,0.0001
14,0.0,8.0,4.0,0.0,0.5,5.0,32.0,32.0,0.0001
15,4.0,16.0,8.0,0.0,0.5,5.0,16.0,32.0,0.0001
16,5.0,16.0,8.0,2.0,0.1,5.0,32.0,16.0,0.001
17,6.0,32.0,4.0,0.0,0.5,5.0,64.0,32.0,0.0001
18,4.0,16.0,8.0,1.0,0.1,5.0,8.0,16.0,0.0001
